# http://fitlayout.github.io/resource/art68 -> https://www.imdb.com/title/tt2661044/fullcredits/
character=Patient	name=Lizzie Boys	episodes=1 episode, 2014 	
character=Inspector Grus	name=Fulvio Cecere	episodes=1 episode, 2014 	
character=Satisfied Girl	name=Nicole Hombrebueno	episodes=1 episode, 2014 	
character=Osias	name=Chad Riley	episodes=1 episode, 2014 	
character=Sergeant Scott	name=Warren Belle	episodes=1 episode, 2014 	
character=Culled Woman	name=Melissa M. Montgomery	episodes=1 episode, 2014 	
character=Alpha Reaper	name=Sean Millington	episodes=1 episode, 2015 	
character=Garza	name=Jackson Berlin	episodes=1 episode, 2015 	
character=Macallan	name=Shawn Mendes	episodes=1 episode, 2016 	
character=Follower	name=Armando Canales	episodes=1 episode, 2016 	
character=Husband	name=James Clayton	episodes=1 episode, 2017 	
character=Sonya	name=James Clayton	episodes=1 episode, 2017 	
character=Terro	name=David Attar	episodes=1 episode, 2017 	
character=Rafel	name=Jason Beaudoin	episodes=1 episode, 2017 	
character=Wounded Old Man	name=Ray G. Thunderchild	episodes=1 episode, 2017 	
character=Egyptian Scavenger	name=Zara Durrani	episodes=1 episode, 2017 	
character=Stevens	name=Brad Bergeron	episodes=1 episode, 2017 	
character=Wonkru Warrior	name=Neil Webb	episodes=1 episode, 2018 	
character=Young Madi	name=Lina Renna	episodes=1 episode, 2018 	
character=Harris	name=Tommy Europe	episodes=1 episode, 2018 	
character=Huge Wonkru Man	name=Jesse Stretch	episodes=1 episode, 2018 	
character=Delphi Delegate	name=Anousha Alamian	episodes=1 episode, 2018 	
character=Prisoner Male Patient	name=Russel 	episodes=1 episode, 2018 	
character=Prisoner Male Patient	name=Watson	episodes=1 episode, 2018 	
character=Prisoner Male Patient	name=Snake	episodes=1 episode, 2018 	
character=Octavia Blodreina Double	name=Paloma Kwiatkowski	episodes=1 episode, 2019 	
character=Bully	name=Carson Sanca	episodes=1 episode, 2019 	
character=Lucy	name=Nicole Muñoz	episodes=1 episode, 2020 	
