# http://fitlayout.github.io/resource/art7 -> https://www.imdb.com/title/tt0098904/fullcredits/
character=Nina West	name=Catherine Keener	episodes=1 episode, 1992 	
character=Scam Woman	name=Barbara Stock	episodes=1 episode, 1992 	
character=Rula	name=Mimi Lieber	episodes=1 episode, 1992 	
character=Mrs. Sokol	name=Rae Allen	episodes=1 episode, 1992 	
character=Prisoner	name=Scott Burkholder	episodes=1 episode, 1992 	
character=Jerry	name=Nina Tremblay	episodes=1 episode, 1992 	
character=Girlfriend	name=Nina Tremblay	episodes=1 episode, 1992 	
character=John	name=Fred Sanders	episodes=1 episode, 1992 	
character=Jodi	name=Jennifer Coolidge	episodes=1 episode, 1993 	
character=Amy	name=Anna Gunn	episodes=1 episode, 1993 	
character=Betsy	name=Megan Mullally	episodes=1 episode, 1993 	
character=Restaurateur	name=Michael Des Barres	episodes=1 episode, 1993 	
character=Mrs. Sweedler	name=Debra Mooney	episodes=1 episode, 1993 	
character=Frank Costanza	name=John Randolph	episodes=1 episode, 1993 	
character=Roy	name=Sherman Howard	episodes=1 episode, 1993 	
character=Driver	name=Christopher Darga	episodes=1 episode, 1993 	
character=Enzo	name=Antony Ponzini	episodes=1 episode, 1993 	
character=Usher	name=Perry Anzilotti	episodes=1 episode, 1993 	
character=Joe	name=Leonard Termo	episodes=1 episode, 1993 	
character=Corinne	name=Carol Kane	episodes=1 episode, 1994 	
character=Julie	name=Michelle Forbes	episodes=1 episode, 1994 	
character=Carl	name=David James Elliott	episodes=1 episode, 1994 	
character=Mrs. Enright	name=Lois Nettleton	episodes=1 episode, 1994 	
character=Tony	name=Dan Cortese	episodes=1 episode, 1994 	
character=Toby	name=Veanne Cox	episodes=1 episode, 1994 	
character=Phil Totola	name=Mark Tymchyshyn	episodes=1 episode, 1994 	
character=Clerk	name=Frank Novak	episodes=1 episode, 1994 	
character=Cathy Tierny	name=Katherine LaNasa	episodes=1 episode, 1995 	
character=Siena	name=Katy Selverstone	episodes=1 episode, 1995 	
character=Jean-Paul	name=Jeremiah Birkett	episodes=1 episode, 1995 	
character=Lena	name=Jennifer Guthrie	episodes=1 episode, 1995 	
