# http://fitlayout.github.io/resource/art40 -> https://www.imdb.com/title/tt0944947/fullcredits/
character=Dothraki Widow 	name=Angelique Fernandez	episodes=2 episodes, 2016 	
character=Stark Guard	name=David Sheehan	episodes=2 episodes, 2012 	
character=Mummer 	name=Glen Barry	episodes=2 episodes, 2016 	
character=Kayla	name=Pixie Le Knot	episodes=2 episodes, 2013-2014 	
character=Manservant	name=Conor Watters	episodes=2 episodes, 2014 	
character=Mummer 	name=Brendan O	episodes=2 episodes, 2016 	
character=Mummer 	name=Rourke	episodes=2 episodes, 2016 	
character=Tobho Mott	name=Andrew Wilde	episodes=2 episodes, 2011-2012 	
character=Night	name=Michael Hayes	episodes=2 episodes, 2016 	
character=Watchman 	name=Michael Hayes	episodes=2 episodes, 2016 	
character=Mummer 	name=Ross Anderson-Doherty	episodes=2 episodes, 2016 	
character=Dothraki Widow 	name=Wuese Houston-Jibo	episodes=2 episodes, 2016 	
character=Willem Lannister	name=Timothy Gibbons	episodes=2 episodes, 2013 	
character=Baratheon Soldier 	name=Jason McLaughlin	episodes=2 episodes, 2015 	
character=Loyal Night	name=Steve Cash	episodes=2 episodes, 2016 	
character=Watchman 	name=Steve Cash	episodes=2 episodes, 2016 	
character=Night	name=Tony Flynn	episodes=2 episodes, 2016 	
character=Watchman 	name=Tony Flynn	episodes=2 episodes, 2016 	
character=Night	name=Michael Hooley	episodes=2 episodes, 2016 	
character=Watchman	name=Michael Hooley	episodes=2 episodes, 2016 	
character=The Mother	name=Em Scribbler	episodes=2 episodes, 2015 	
character=Male Prostitute	name=Dennis Stokes	episodes=2 episodes, 2012 	
character=The Maiden	name=Rebecca Scott	episodes=2 episodes, 2015 	
character=The Crone	name=Rosie Ruthless	episodes=2 episodes, 2015 	
character=Arthur	name=Nathanael Saleh	episodes=2 episodes, 2016 	
character=Little Bird 	name=Jesse Magee	episodes=2 episodes, 2016 	
character=Little Bird 	name=Michael Nevin	episodes=2 episodes, 2016 	
character=Little Bird 	name=Lucy Gallagher	episodes=2 episodes, 2016 	
character=Little Bird 	name=Iona Clarke	episodes=2 episodes, 2016 	
character=Little Bird 	name=Fionn Kernan	episodes=2 episodes, 2016 	
character=Three-Eyed Raven	name=Struan Rodger	episodes=1 episode, 2014 	
character=Joyeuse Frey	name=Kelly Long	episodes=1 episode, 2011-2013 	
character=Tyrell Lady	name=Sophie Reid	episodes=1 episode, 2013 	
character=Tommy	name=Tommy Dunne	episodes=1 episode, 2011-2014 	
character=Leo Lefford	name=Vinnie McCabe	episodes=1 episode, 2011 	
character=Ironborn 	name=Robert Render	episodes=1 episode, 2011-2016 	
character=Brother Ray	name=Ian McShane	episodes=1 episode, 2016 	
character=Nora	name=Laura Elphinstone	episodes=1 episode, 2019 	
character=Xela	name=Alexis Raben	episodes=1 episode, 2019 	
character=Lannister Soldier	name=Matthew Wolf	episodes=1 episode, 2019 	
character=Karsi	name=Birgitte Hjort Sørensen	episodes=1 episode, 2015 	
character=Nora	name=Tipper Seifert-Cleveland	episodes=1 episode, 2019 	
character=Daughter	name=Tipper Seifert-Cleveland	episodes=1 episode, 2019 	
character=Singing Lannister Soldier	name=Stephen Swift	episodes=1 episode, 2012 	
character=Northern Sentry	name=Frank Blake	episodes=1 episode, 2019 	
character=Dying Man	name=Barry McGovern	episodes=1 episode, 2014 	
character=Loboda	name=Zachary Baharov	episodes=1 episode, 2015 	
character=Lannister Soldier	name=Ryan McKen	episodes=1 episode, 2019 	
character=Stark Soldier	name=Danny Kirrane	episodes=1 episode, 2017 	
character=Unsullied Captain	name=Gabriel Akuwudike	episodes=1 episode, 2019 	
character=Lannister Soldier	name=Owen Whitelaw	episodes=1 episode, 2019 	
character=Imry Florent	name=Gordon Mahon	episodes=1 episode, 2012 	
character=Captain of the Bolton Archers	name=Rory Mullen	episodes=1 episode, 2016 	
character=Koner	name=Joseph Quinn	episodes=1 episode, 2017 	
character=Young Woman	name=Rori Hawthorn	episodes=1 episode, 2019 	
character=Ironborn Lord	name=Noel Harron	episodes=1 episode, 2019 	
character=Mandon Moore	name=James Doran	episodes=1 episode, 2012 	
character=Bolton General	name=Mark Tankersley	episodes=1 episode, 2016 	
