# http://fitlayout.github.io/resource/art59 -> https://www.imdb.com/title/tt2306299/fullcredits/
character=Messenger	name=Desmond Eastwood	episodes=1 episode, 2020 	
character=Second Warrior	name=Alexander Campbell	episodes=1 episode, 2020 	
character=Olaf Andwend	name=David Wilmot	episodes=1 episode, 2013 	
character=Egbert	name=Sean Tracy	episodes=1 episode, 2013 	
character=Warrior	name=Mark Fitzgerald	episodes=1 episode, 2016 	
character=Warrior	name=Owen J. Barton	episodes=1 episode, 2019 	
character=Wiglaf	name=Bryan Larkin	episodes=1 episode, 2020 	
character=First Warrior	name=James Oliver Wheatley	episodes=1 episode, 2020 	
character=Female Skald	name=Anna-Maria Jopek	episodes=1 episode, 2020 	
character=Nils	name=David Michael Scott	episodes=1 episode, 2013 	
character=Hakon	name=Craig Whittaker	episodes=1 episode, 2013 	
character=Eric Trygvasson	name=Conor Madden	episodes=1 episode, 2013 	
character=Ari	name=Jay Duffy	episodes=1 episode, 2014 	
character=Woman	name=Pagan McGrath	episodes=1 episode, 2014 	
character=Warrior 	name=Jack Hickey	episodes=1 episode, 2015 	
character=Magnus	name=Cameron Hogan	episodes=1 episode, 2016 	
character=Lord Abbot	name=Bosco Hogan	episodes=1 episode, 2018 	
character=Prince Askold	name=Blake Kubena	episodes=1 episode, 2019 	
character=Idun	name=Jerry-Jane Pears	episodes=1 episode, 2020 	
character=Rus Official	name=Ciaran McMahon	episodes=1 episode, 2020 	
character=Viking Messenger	name=Tim Fellingham	episodes=1 episode, 2020 	
character=Man in Kattegat	name=Kevin McCann	episodes=1 episode, 2013 	
character=Female Servant 	name=Michelle Costello	episodes=1 episode, 2013 	
character=Ealdorman Eadric	name=Alan Devine	episodes=1 episode, 2014 	
character=Young Woman	name=Rachel-Mae Brady	episodes=1 episode, 2014 	
character=French Sentry	name=Anthony Kinahan	episodes=1 episode, 2015 	
character=Viking Trader	name=Conor Lambert	episodes=1 episode, 2017 	
character=Canute	name=Conn Rogers	episodes=1 episode, 2019 	
character=Physician	name=Marcus Lamb	episodes=1 episode, 2019 	
character=Kattegonian Man	name=Shane Robinson	episodes=1 episode, 2020 	
character=King 2	name=Neill Fleming	episodes=1 episode, 2020 	
character=Young Iceland Woman	name=Ciara Ivie	episodes=1 episode, 2020 	
character=Blacksmith	name=Paul Kealyn	episodes=1 episode, 2013 	
character=Olaf, Son of Igolf	name=Cian Quinn	episodes=1 episode, 2013 	
character=Peasant Man	name=Matt Ryan	episodes=1 episode, 2013 	
character=Soldier	name=Rex Ryan	episodes=1 episode, 2015 	
character=Saxon Servant	name=Cian Gallagher	episodes=1 episode, 2018 	
