# http://fitlayout.github.io/resource/art28 -> https://www.imdb.com/title/tt2654620/fullcredits/
character=Dukali	name=Ehren Kassam	episodes=1 episode, 2017 	
character=Cyril	name=Andrew Robinson	episodes=1 episode, 2017 	
character=Receptionist Laura	name=Michelle Mylett	episodes=1 episode, 2014 	
character=Jax	name=Genevieve Kang	episodes=1 episode, 2014 	
character=Sebastiane	name=Shailene Garnett	episodes=1 episode, 2014 	
character=Ronnie	name=Michel Issa Rubio	episodes=1 episode, 2014 	
character=Albanian Girl	name=Aja Neinstein	episodes=1 episode, 2014 	
character=Farouk	name=Yasin Sheikh	episodes=1 episode, 2014 	
character=Robin Fitzwilliam	name=Catherine Burdon	episodes=1 episode, 2015 	
character=Newscaster	name=Pat Kiernan	episodes=1 episode, 2015 	
character=James	name=Daniel Keith Morrison	episodes=1 episode, 2015 	
character=Stoneheart Security Agent 	name=James Binkley	episodes=1 episode, 2015 	
character=Young Abraham 	name=Sammy Silver	episodes=1 episode, 2015 	
character=Years-Old	name=Sammy Silver	episodes=1 episode, 2015 	
character=Night Patrol 2	name=Eric Hicks	episodes=1 episode, 2016 	
character=Ray	name=Phillip Jarrett	episodes=1 episode, 2016 	
character=George	name=George Nickolas K.	episodes=1 episode, 2016 	
character=Night Patrol Officer 	name=David Patrick Flemming	episodes=1 episode, 2016 	
character=German Wehrmacht Soldier	name=Lukas Penar	episodes=1 episode, 2016 	
character=Jeremy	name=Jonathan Malen	episodes=1 episode, 2017 	
character=Neil	name=Adrian G. Griffiths	episodes=1 episode, 2017 	
character=Milos	name=Jack Newman	episodes=1 episode, 2017 	
character=Stumpf	name=Damien Howard	episodes=1 episode, 2017 	
character=Tanker Driver	name=Matthew R. Wilson	episodes=1 episode, 2017 	
character=Special Agent Woodbridge	name=Joshua Peace	episodes=1 episode, 2014 	
character=Gregg Nelson	name=Dwight Ireland	episodes=1 episode, 2014 	
character=Badass Guard	name=Julian Lewis	episodes=1 episode, 2014 	
character=Soso Egnatashvili	name=Xhemi Agaj	episodes=1 episode, 2014 	
character=Stoneheart Security Agent 	name=Alex Cruz	episodes=1 episode, 2015 	
character=Detective Paul Sampson	name=Alex Karzis	episodes=1 episode, 2015 	
character=Officer Nick Edmondson	name=Dax Ravina	episodes=1 episode, 2015 	
character=Husband	name=John Fray	episodes=1 episode, 2015 	
character=Karl Spurzem	name=M. John Kennedy	episodes=1 episode, 2015 	
character=Sardu	name=George Kelebay	episodes=1 episode, 2015 	
character=Brother	name=George Kelebay	episodes=1 episode, 2015 	
character=Conductor	name=Bryon Mumford	episodes=1 episode, 2015 	
character=Nick Coley 	name=Carlos Gonzalez-Vio	episodes=1 episode, 2016 	
character=Navy Seal	name=Carlos Gonzalez-Vio	episodes=1 episode, 2016 	
character=Safe Streets Guard 	name=Nick Stojanovic	episodes=1 episode, 2016 	
character=Subject 505	name=Viv Moore	episodes=1 episode, 2016 	
character=Fulton	name=Charles-Henry Joseph	episodes=1 episode, 2016 	
character=Nurse	name=Erica Levene	episodes=1 episode, 2016 	
character=Eddie	name=Michael Rhoades	episodes=1 episode, 2017 	
character=Beau	name=Thomas Mitchell	episodes=1 episode, 2014 	
character=Van Cop 	name=Frank Chiesurin	episodes=1 episode, 2014 	
character=Nigerian	name=Kingsley Ngadi	episodes=1 episode, 2014 	
character=Opponent	name=Matthew G. Taylor	episodes=1 episode, 2015 	
character=Sarah	name=Tanya Allen	episodes=1 episode, 2015 	
character=Risa Crouse	name=Lucy Hill	episodes=1 episode, 2015 	
character=Oscar Brandt	name=John Nelles	episodes=1 episode, 2015 	
character=Janitor	name=Mio Adilman	episodes=1 episode, 2015 	
character=Grocer Strigoi	name=Daniel Park	episodes=1 episode, 2016 	
character=Carl	name=Jeffrey Knight	episodes=1 episode, 2016 	
character=Dooley	name=Patrick Stevenson	episodes=1 episode, 2017 	
character=Anglican Priest	name=Gavin Williams	episodes=1 episode, 2017 	
character=Hollow-Eyed Woman	name=Keira McNeice	episodes=1 episode, 2017 	
character=Daughter	name=Keira McNeice	episodes=1 episode, 2017 	
character=Rafi	name=Ngabo Nabea	episodes=1 episode, 2017 	
character=Therapist	name=Rachael Crawford	episodes=1 episode, 2014 	
character=Jacob Setrakian	name=Rhys Ward	episodes=1 episode, 2014 	
character=Horace	name=Dimitri Vantis	episodes=1 episode, 2014 	
character=Van Driver	name=Stéphane Lefebvre	episodes=1 episode, 2014 	
character=Tom Perry	name=Romaine Waite	episodes=1 episode, 2015 	
character=Hector Perez	name=Ian Paola	episodes=1 episode, 2015 	
character=Bewildered Man	name=Christopher Kelk	episodes=1 episode, 2015 	
character=Louis	name=Chris Locke	episodes=1 episode, 2015 	
character=Worker	name=Charlie Ebbs	episodes=1 episode, 2015 	
character=Klaus Schnurrbart	name=Stephen Park	episodes=1 episode, 2015 	
character=Driver	name=Warren Chow	episodes=1 episode, 2015 	
character=Assistant Teacher	name=Devon Healey	episodes=1 episode, 2015 	
character=Janitor	name=Alexandra Boyadjieff	episodes=1 episode, 2015 	
character=Little Girl	name=Alexandra Boyadjieff	episodes=1 episode, 2015 	
character=Dr. Arva Somani	name=Laara Sadiq	episodes=1 episode, 2016 	
character=Captain John Cushnell	name=Tre Smith	episodes=1 episode, 2016 	
character=Safe Streets Guard 	name=Lancy Wilson	episodes=1 episode, 2016 	
character=Safe Streets Guard 	name=David D	episodes=1 episode, 2016 	
character=Billy	name=Tim MacLean	episodes=1 episode, 2016 	
character=Human Guard	name=Boomer Phillips	episodes=1 episode, 2017 	
character=Emily	name=Ava Preston	episodes=1 episode, 2017 	
character=Orphan Boy	name=Cole Kapoor	episodes=1 episode, 2017 	
character=Holland	name=John Iwasin	episodes=1 episode, 2017 	
character=Chauffeur	name=Andrew Hinkson	episodes=1 episode, 2014 	
character=Sledge	name=Scott Yaphe	episodes=1 episode, 2014 	
character=Prisoner 	name=Sebastian MacLean	episodes=1 episode, 2014 	
character=Untersturmführer	name=Peter Jurt	episodes=1 episode, 2014 	
character=NY1 Stock Reporter	name=Maura Grierson	episodes=1 episode, 2015 	
