# http://fitlayout.github.io/resource/art19 -> https://www.imdb.com/title/tt0141842/fullcredits/
character=Elliot	name=Daniel Ahearn	episodes=2 episodes, 2006 	
character=Abaldo	name=Rick Aiello	episodes=2 episodes, 2007 	
character=Ray-Ray D	name=Rick Aiello	episodes=2 episodes, 2007 	
character=Professor Kline	name=Lindsay Campbell	episodes=2 episodes, 2007 	
character=Cesar	name=Charles Santy	episodes=2 episodes, 1999-2004 	
character=Roy Del Guercio	name=Kevin Janicelli	episodes=2 episodes, 2001 	
character=Val	name=Suzanne Hevner	episodes=2 episodes, 2006-2007 	
character=Emmerich	name=Antony Hagopian	episodes=2 episodes, 2006 	
character=Pat	name=Chris McGarry	episodes=2 episodes, 2006 	
character=Manny Safier	name=Matthew Weiner	episodes=2 episodes, 2004-2007 	
character=Lori	name=Nathalie Walker	episodes=2 episodes, 2006-2007 	
character=Cary Di Bartolo	name=James Vincent Romano	episodes=2 episodes, 2006 	
character=Inez Munoz	name=Rosa Nino	episodes=2 episodes, 2002 	
character=Ron	name=Eldon Thiele	episodes=2 episodes, 2006 	
character=Marty Schwartz	name=Jerry Grayson	episodes=2 episodes, 2002 	
character=Yaryna	name=Matilda Szydagis	episodes=2 episodes, 2006-2007 	
character=George Piocosta	name=Sal Petraccione	episodes=2 episodes, 1999-2001 	
character=Rob	name=Matthew Breiner	episodes=2 episodes, 2001 	
character=Rocco	name=Richard Petrocelli	episodes=2 episodes, 2001-2004 	
character=Nurse	name=Gay Thomas Wilson	episodes=2 episodes, 2002 	
character=Dealer 	name=Anthony Spina	episodes=2 episodes, 2004 	
character=Dr. Budraja	name=Anjali Bhimani	episodes=2 episodes, 2006 	
character=Nurse Leontine Overall	name=Traci Kindell	episodes=2 episodes, 2006 	
character=Colin	name=Ian Group	episodes=2 episodes, 2001 	
character=Ms. Mary Bisacci	name=Fran Gennuso	episodes=2 episodes, 2004 	
character=Victor Mineo	name=Matt Sauerhoff	episodes=2 episodes, 2007 	
character=Robbie Pontecorvo	name=Thomas Russo	episodes=2 episodes, 2006 	
character=Xavier	name=Tommy Savas	episodes=2 episodes, 2001 	
character=Nurse Aquino	name=Luz Lor	episodes=2 episodes, 2006 	
character=Dr. Ba	name=C.S. Lee	episodes=2 episodes, 2006 	
character=Bartender	name=Edward Watts	episodes=2 episodes, 2006 	
character=Elzbieta	name=Zuzanna Szadkowski	episodes=2 episodes, 2007 	
character=Green Grove Singer	name=Deirdre Sullivan	episodes=2 episodes, 2000-2001 	
character=Nurse Bruce	name=Gary Cowling	episodes=2 episodes, 2006 	
character=Gianna Millio	name=Merel Julia	episodes=2 episodes, 2006 	
character=Ally Pontecorvo	name=Grace Van Patten	episodes=2 episodes, 2006 	
character=Neighbor	name=Maria Elena Ramirez	episodes=2 episodes, 2002-2006 	
character=Orderly	name=Samuel Smith	episodes=2 episodes, 2006 	
character=Jimmy La Manna	name=Anthony Desio	episodes=2 episodes, 2004 	
character=Dealer	name=John Marinacci	episodes=2 episodes, 2004 	
character=Carmine III	name=Sammy Semenza	episodes=2 episodes, 2004-2007 	
character=Pepin	name=Carmine Mitore	episodes=2 episodes, 2002 	
character=Zi	name=Carmine Mitore	episodes=2 episodes, 2002 	
character=Reporter 	name=Amy Kean	episodes=2 episodes, 2006-2007 	
character=Alyssa Giglione	name=Madison Connolly	episodes=2 episodes, 2004-2007 	
