# http://fitlayout.github.io/resource/art5 -> https://www.imdb.com/title/tt0410975/fullcredits/
character=Waiter	name=David Pevsner	episodes=2 episodes, 2005-2006 	
character=Nurse	name=Julie Pop	episodes=2 episodes, 2007 	
character=Claire Cormier	name=Erin O	episodes=2 episodes, 2009 	
character=Claire Cormier	name=Shaughnessy	episodes=2 episodes, 2009 	
character=Luis	name=Albert Garcia	episodes=2 episodes, 2005-2006 	
character=Garbage Man	name=Darryl Alan Reed	episodes=2 episodes, 2006-2011 	
character=Cecile the Stripper	name=Jennifer Lyons	episodes=2 episodes, 2006 	
character=Nurse	name=Felice Heather Monteith	episodes=2 episodes, 2006 	
character=Mike	name=Felice Heather Monteith	episodes=2 episodes, 2006 	
character=Nurse 	name=Melody Butiu	episodes=2 episodes, 2008-2011 	
character=Sherri Maltby	name=Chloë Grace Moretz	episodes=2 episodes, 2006-2007 	
character=Paramedic	name=Stephen O	episodes=2 episodes, 2007 	
character=Paramedic	name=Mahoney	episodes=2 episodes, 2007 	
character=Cop	name=Chris Damiano	episodes=2 episodes, 2006-2007 	
character=Man	name=Lenny Schmidt	episodes=2 episodes, 2006 	
character=Gilbert McCluskey	name=John Harnagel	episodes=2 episodes, 2007 	
character=Dr. Cunningham	name=Tim Monsion	episodes=2 episodes, 2006 	
character=On Site TV Reporter	name=Craig Tsuyumine	episodes=2 episodes, 2006-2010 	
character=Guard	name=J. Omar Castro	episodes=1 episode, 2007 	
character=Nurse	name=Coley Sohn	episodes=1 episode, 2007 	
character=Guard	name=Stacy Hall	episodes=1 episode, 2007-2010 	
character=Man	name=John Littlefield	episodes=1 episode, 2010 	
character=Judy	name=Alicia Brandt	episodes=1 episode, 2005-2006 	
character=The Ice Cream Man	name=Paul Rae	episodes=1 episode, 2005 	
character=Hector 	name=Paul Rae	episodes=1 episode, 2005 	
character=Cop	name=Boo Arnold	episodes=1 episode, 2006 	
character=Jack	name=Mark Arnold	episodes=1 episode, 2005 	
character=Principal Stark	name=Trisha Simmons	episodes=1 episode, 2004-2005 	
character=Lawyer	name=Howard S. Miller	episodes=1 episode, 2006 	
character=Zach	name=Howard S. Miller	episodes=1 episode, 2006 	
character=Field Reporter	name=Brandon Lombardi	episodes=1 episode, 2007 	
character=Jerry	name=Sven Holmberg	episodes=1 episode, 2005-2006 	
character=Stan	name=John Callahan	episodes=1 episode, 2006 	
character=Gangbanger 	name=Garrett Warren	episodes=1 episode, 2005-2006 	
character=Young Andrew	name=Hunter Allan	episodes=1 episode, 2006 	
character=Scott	name=Richard Ruccolo	episodes=1 episode, 2011 	
character=Herbert Brickmeyer	name=Chris Gartin	episodes=1 episode, 2011 	
character=Frank Sweeney	name=H. Richard Greene	episodes=1 episode, 2011 	
character=Doris	name=Lee Meriwether	episodes=1 episode, 2012 	
character=Mary Beth	name=Ashley Austin Morris	episodes=1 episode, 2012 	
character=Bradley	name=Rick Peters	episodes=1 episode, 2012 	
character=Dylan	name=Mark Totty	episodes=1 episode, 2012 	
character=Monroe Carter	name=David Foley	episodes=1 episode, 2011 	
character=Father Dugan	name=Sam McMurray	episodes=1 episode, 2011 	
character=Karen	name=Randee Heller	episodes=1 episode, 2011 	
character=Allen	name=Scott Lawrence	episodes=1 episode, 2011 	
character=Geoffrey Mathers	name=Jeremy Glazer	episodes=1 episode, 2011 	
character=Mother	name=Rebecca Wisocky	episodes=1 episode, 2012 	
character=Bree	name=Rebecca Wisocky	episodes=1 episode, 2012 	
character=Beefy Middle-Aged Woman	name=Jan Hoag	episodes=1 episode, 2004 	
character=Bob Rowland	name=Mark Harelik	episodes=1 episode, 2005 	
character=Edgar	name=Jason George	episodes=1 episode, 2011 	
character=Alan	name=Joel Murray	episodes=1 episode, 2012 	
character=Connie Thomas	name=Edie McClurg	episodes=1 episode, 2012 	
character=Debbie	name=Stephanie Erb	episodes=1 episode, 2012 	
character=Detective	name=Rob Reinis	episodes=1 episode, 2012 	
character=Brandi	name=Anne Dudek	episodes=1 episode, 2004 	
character=Officer Rick Thompson	name=Steven Eckholdt	episodes=1 episode, 2004 	
character=Judge Sullivan	name=Lorna Raver	episodes=1 episode, 2004 	
character=Alisa Stevens	name=Marlee Matlin	episodes=1 episode, 2005 	
character=Tammy Brennan	name=Lisa Darr	episodes=1 episode, 2005 	
character=Charles McLain	name=Greg Evigan	episodes=1 episode, 2007 	
character=Stacy Strauss	name=Rebecca Creskoff	episodes=1 episode, 2010 	
character=Tracy Miller	name=Cynthia Watros	episodes=1 episode, 2010 	
character=Lisa	name=Erinn Hayes	episodes=1 episode, 2011 	
character=Glenn Morris	name=Ron Melendez	episodes=1 episode, 2011 	
character=Wally	name=Jon Curry	episodes=1 episode, 2011 	
character=Donnie	name=Frank Crim	episodes=1 episode, 2011 	
character=Doug	name=Bryan Rasmussen	episodes=1 episode, 2011 	
character=Dr. Delson	name=Robert Pine	episodes=1 episode, 2012 	
character=Alexandra	name=Jacqueline McKenzie	episodes=1 episode, 2012 	
character=Bill	name=Christopher Goodman	episodes=1 episode, 2012 	
character=Alberta Holstein	name=Lee Garlington	episodes=1 episode, 2004 	
character=Lois McDaniel	name=Karen Austin	episodes=1 episode, 2005 	
character=Charles Skouras	name=Jon Polito	episodes=1 episode, 2005 	
character=Graham Hainsworth	name=Paxton Whitehead	episodes=1 episode, 2007 	
character=Jessie	name=Swoosie Kurtz	episodes=1 episode, 2009 	
character=Doreen Vance	name=Anita Barone	episodes=1 episode, 2011 	
character=Andrew	name=Jonathan Scarfe	episodes=1 episode, 2011 	
character=Jasper Zeller	name=Mason Cook	episodes=1 episode, 2011 	
character=Dr. Sugarman	name=David Brisbin	episodes=1 episode, 2011 	
character=Sister Marta	name=Jill Larson	episodes=1 episode, 2011 	
character=Tommy	name=Tim Ransom	episodes=1 episode, 2011 	
character=Friedrich	name=Alec Musser	episodes=1 episode, 2011 	
character=Dakota	name=Jillian Nelson	episodes=1 episode, 2011 	
character=Ally	name=Emily Happe	episodes=1 episode, 2011 	
character=Deirdre	name=Shulie Cowen	episodes=1 episode, 2011 	
character=Gillian	name=Molly Hagan	episodes=1 episode, 2012 	
character=Greg	name=Cameron Mathison	episodes=1 episode, 2012 	
character=Reverend Lawson	name=Ned Schmidtke	episodes=1 episode, 2012 	
