# http://fitlayout.github.io/resource/art63 -> https://www.imdb.com/title/tt0106179/fullcredits/
character=Cobra	name=Timothy Landfield	episodes=2 episodes, 2000-2002 	
character=Thea Sprecher	name=Christine Firkins	episodes=2 episodes, 2000 	
character=Overcoat Woman	name=McNally Sagal	episodes=2 episodes, 2002 	
character=Lone Man	name=Denis Forest	episodes=2 episodes, 2002 	
character=Crewman	name=Michael J Rogers	episodes=2 episodes, 1993-1995 	
character=Dell	name=Katya Gardner	episodes=2 episodes, 1993-1995 	
character=Peggy O	name=Katya Gardner	episodes=2 episodes, 1993-1995 	
character=James Earl Ray	name=Paul Jarrett	episodes=2 episodes, 1994-1996 	
character=Beatrice Salinger	name=Lisa Ann Beley	episodes=2 episodes, 1994 	
character=Harry Linhart	name=Peter Lapres	episodes=2 episodes, 1994 	
character=Eric Hosteen	name=Dakota House	episodes=2 episodes, 1995 	
character=Holly	name=Julia Arkos	episodes=2 episodes, 1996-1997 	
character=Landlord	name=J. Douglas Stewart	episodes=2 episodes, 1997-1998 	
character=Detective Rempulski	name=Rob Freeman	episodes=2 episodes, 1997 	
character=Christine Fletcher	name=Dara Hollingsworth	episodes=2 episodes, 1998 	
character=Terry Fletcher	name=Tyler Binkley	episodes=2 episodes, 1998 	
character=Angie	name=Mandy Levin	episodes=2 episodes, 1999-2002 	
character=Elder 	name=Al Ruscio	episodes=2 episodes, 1999 	
character=Richie	name=Judd Trichter	episodes=2 episodes, 2000-2001 	
character=Groundskeeper	name=Tom Heaton	episodes=2 episodes, 1993-1996 	
character=Deputy Scott Kerber	name=D. Neil Mark	episodes=2 episodes, 1993-1996 	
character=Coroner	name=Roger Haskett	episodes=2 episodes, 1994-1998 	
character=Agent Cameron Hill	name=Michael Ryan	episodes=2 episodes, 1994-1997 	
character=Agent Busch	name=Mark Saunders	episodes=2 episodes, 1994-1995 	
character=The Stupendous Yappi	name=Jaap Broeker	episodes=2 episodes, 1995-1996 	
