# http://fitlayout.github.io/resource/art13 -> https://www.imdb.com/title/tt0903747/fullcredits/
character=Beto	name=James Espinoza	episodes=1 episode, 2010 	
character=EMT	name=Brian G. Lax	episodes=1 episode, 2010 	
character=Physical Therapist	name=Rebecca Crago	episodes=1 episode, 2010 	
character=Party Girl	name=Sarah Minnich	episodes=1 episode, 2011 	
character=Cancer Patient	name=Michael Sheets	episodes=1 episode, 2011 	
character=Dog Handler	name=Michael Valverde	episodes=1 episode, 2011 	
character=News Reporter	name=Augusta Meyers	episodes=1 episode, 2011 	
character=Laundry Woman 3	name=Veronica Jaquez	episodes=1 episode, 2011 	
character=Partygoer	name=Stephen Braddock	episodes=1 episode, 2011 	
character=Ms. Tromel	name=Trine Christensen	episodes=1 episode, 2012 	
character=Darla	name=Kristin Hansen	episodes=1 episode, 2012 	
character=Public Defender	name=Scott Ward	episodes=1 episode, 2012 	
character=DEA Agent	name=Steve Stafford	episodes=1 episode, 2013 	
character=Customer	name=Merritt C. Glover	episodes=1 episode, 2013 	
character=Waitress	name=Caroline Patz	episodes=1 episode, 2013 	
character=DEA Agent	name=Victoria Lease	episodes=1 episode, 2013 	
character=Homeowner	name=Brett Shane Cooley	episodes=1 episode, 2013 	
character=Mr. Wilson	name=Charles Dowdy III	episodes=1 episode, 2008 	
character=Friend 	name=Joshua S. Patton	episodes=1 episode, 2008 	
character=Jock	name=Joshua S. Patton	episodes=1 episode, 2008 	
character=Nurse	name=Ravenna Fahey	episodes=1 episode, 2009 	
character=Mother	name=Jiji Hise	episodes=1 episode, 2010 	
character=Lead Doctor	name=John Welker	episodes=1 episode, 2010 	
character=Mother	name=Maria Bethke	episodes=1 episode, 2010 	
character=Rookie Officer	name=Daniel Champine	episodes=1 episode, 2010 	
character=Screaming Shopper	name=Wendy Kostora	episodes=1 episode, 2010 	
character=Commercial Voice Over	name=David Robinson Jr.	episodes=1 episode, 2011 	
character=Little Old Lady	name=Lorenzita Anaya	episodes=1 episode, 2011 	
character=Salesman	name=Alex Knight	episodes=1 episode, 2012 	
character=Asst. US Attorney	name=Craig Nigh	episodes=1 episode, 2012 	
character=Lawyer	name=Mathias Kaesebier	episodes=1 episode, 2012 	
character=Skater	name=Ray Chavez	episodes=1 episode, 2013 	
character=Beneke Employee 	name=Maggie Fine	episodes=1 episode, 2009 	
character=Nurse	name=Trina E. Siopy	episodes=1 episode, 2010 	
character=Bingo Lady	name=Shari Rhodes	episodes=1 episode, 2010 	
character=APD Officer	name=Kevin Christopher Brown	episodes=1 episode, 2010 	
character=Old Crawler	name=Cicelo Solano	episodes=1 episode, 2010 	
character=Bingo Caller	name=Marty Smith	episodes=1 episode, 2011 	
character=Homeowner	name=Mike Ostroski	episodes=1 episode, 2012 	
character=Detective	name=Brennan Foster	episodes=1 episode, 2012 	
character=Beneke Employee 	name=Kate Schroeder	episodes=1 episode, 2009 	
character=Anchor 	name=Ashleigh Banfield	episodes=1 episode, 2010 	
character=Friendly Agent	name=Ken Thomas	episodes=1 episode, 2010 	
character=Radio DJ 	name=Erica Viking	episodes=1 episode, 2011 	
character=Kiira	name=Lillian Presley Leyba	episodes=1 episode, 2012 	
character=Anchor 	name=Marla Tellez	episodes=1 episode, 2010 	
character=Doctor	name=Rosa Estrada	episodes=1 episode, 2010 	
character=Radio DJ 	name=Steve Ruiz	episodes=1 episode, 2011 	
character=Deputy 	name=Aaron Wright	episodes=1 episode, 2013 	
character=Anchor 	name=Jeff Maher	episodes=1 episode, 2010 	
character=Old Man	name=Michael Davis	episodes=1 episode, 2013 	
character=Meth Cook	name=Kevin Owen McDonald	episodes=1 episode, 2013 	
character=Waitress	name=Julianne Flores	episodes=1 episode, 2013 	
character=Government Lawyer	name=William R. Stafford	episodes=1 episode, 2013 	
character=School Office Worker	name=Deborah Martinez	episodes=1 episode, 2013 	
character=Bartender	name=Kurt Soderstrom	episodes=1 episode, 2013 	
character=Barfly	name=Carroll	episodes=1 episode, 2013 	
character=Barfly	name=Leslie O	episodes=1 episode, 2013 	
character=Charlie Rose	name=Charlie Rose	episodes=1 episode, 2013 	
character=CarWash Patron	name=Martin Palmer	episodes=1 episode, 2011 	
character=Office Worker	name=Karen M. Hudson	episodes=3 episodes, 2009-2010 	
character=DEA Agent	name=Jamie Haqqani	episodes=3 episodes, 2009 	
character=Cab Driver	name=Rodger Larance	episodes=3 episodes, 2010-2013 	
character=Bad Girl	name=Tavia Schwartz	episodes=2 episodes, 2008-2009 	
character=DEA	name=Timothy Holmes	episodes=2 episodes, 2010-2013 	
character=Afro-Latino Sicario	name=Aaron Rogers	episodes=2 episodes, 2012 	
character=DEA Agent Tom	name=Sergio Kato	episodes=1 episode, 2008 	
character=Biker	name=Clark Sanchez	episodes=1 episode, 2008 	
character=DEA Agent 	name=Ed Duran	episodes=1 episode, 2008 	
character=Shopper	name=Samantha Anastasiou	episodes=1 episode, 2008 	
character=Pedestrian	name=Peggy Ann O	episodes=1 episode, 2008 	
character=Pedestrian	name=Neal	episodes=1 episode, 2008 	
character=Bank Customer	name=Robert Anthony Brass	episodes=1 episode, 2008 	
character=Teacher	name=Cliff Gravel	episodes=1 episode, 2008 	
character=Parent	name=William E. Marshall	episodes=1 episode, 2008 	
character=Neighborhood Boy	name=William T. Johnson	episodes=1 episode, 2008 	
character=Chemistry Student	name=Benjamin Lax	episodes=1 episode, 2008 	
character=Boy in Museum	name=Sebastian Tyler Rose	episodes=1 episode, 2009 	
character=Lady in Car	name=Tina Borek	episodes=1 episode, 2009 	
character=Corpse	name=David T. Quan	episodes=1 episode, 2009 	
character=DEA Agent	name=Michael-David Aragon	episodes=1 episode, 2009 	
character=Skycap	name=Malcolm Ullery	episodes=1 episode, 2009 	
character=El Paso DEA Agent	name=Paul J. Porter	episodes=1 episode, 2009 	
character=Look Out	name=Jon Reigle	episodes=1 episode, 2009 	
character=Bar Fighter	name=Keith Jardine	episodes=1 episode, 2010 	
character=High School Student	name=Lorena Fernández	episodes=1 episode, 2010 	
character=Skell	name=Gary Ray Stearns	episodes=1 episode, 2010 	
character=Rehab Group Girl	name=Laina Loucks	episodes=1 episode, 2010 	
