# http://fitlayout.github.io/resource/art11 -> https://www.imdb.com/title/tt0248654/fullcredits/
character=Young Sam Hoviak	name=Chris Pine	episodes=1 episode, 2005 	
character=Roberta	name=Ellen Albertini Dow	episodes=1 episode, 2005 	
character=Paul Duncan	name=Billy Lush	episodes=1 episode, 2005 	
character=Madeleine Burns	name=Elizabeth Ruscio	episodes=1 episode, 2005 	
character=Sylvie	name=Elizabeth Rodriguez	episodes=1 episode, 2001 	
character=Boring Man	name=John Billingsley	episodes=1 episode, 2001 	
character=One Night Stand 	name=Jeff Corbett	episodes=1 episode, 2001 	
character=Greg Clarkson	name=Jeff Corbett	episodes=1 episode, 2001 	
character=Mr. Suarez, Jr.	name=Daniel Zacapa	episodes=1 episode, 2001 	
character=Sam Finelli	name=Ted Marcoux	episodes=1 episode, 2001 	
character=Judy Romano	name=Christina Carlisi	episodes=1 episode, 2001 	
character=Brad	name=Blake Adams	episodes=1 episode, 2001 	
character=Elderly Man	name=Harper Roisman	episodes=1 episode, 2001 	
character=Dr. Michaelson	name=Kim Myers	episodes=1 episode, 2002 	
character=LAC Arts Interviewer	name=Connell	episodes=1 episode, 2002 	
character=LAC Arts Interviewer	name=Deirdre O	episodes=1 episode, 2002 	
character=Kimberly Mossback	name=Judy Prescott	episodes=1 episode, 2002 	
character=Friend in Lavander	name=Pamela Bowen	episodes=1 episode, 2003 	
character=Paula Mortimer	name=Judith Baldwin	episodes=1 episode, 2003 	
character=Kevin	name=David Knell	episodes=1 episode, 2003 	
character=Friend 	name=David Knell	episodes=1 episode, 2003 	
character=Cindy	name=Angela Goethals	episodes=1 episode, 2004 	
character=Lou Thornton	name=Brent Sexton	episodes=1 episode, 2004 	
character=Teri	name=Diane Delano	episodes=1 episode, 2004 	
character=Lawrence Tuttle	name=Michael Cornacchia	episodes=1 episode, 2004 	
character=Linda Hoviak	name=Ann Cusack	episodes=1 episode, 2005 	
character=Mechanic	name=Tim DeZarn	episodes=1 episode, 2001 	
character=Mike Cooper	name=Patrick Cavanaugh	episodes=1 episode, 2001 	
character=Bland Funeral Director	name=David Wells	episodes=1 episode, 2001 	
character=Father	name=Tony Perez	episodes=1 episode, 2001 	
character=Paco	name=Tony Perez	episodes=1 episode, 2001 	
character=Morgue Attendant	name=Joe Basile	episodes=1 episode, 2001 	
character=Morgue Attendant	name=Dennis Lau	episodes=1 episode, 2001 	
character=Building Manager	name=Brad Greenquist	episodes=1 episode, 2002 	
character=Leeza Gibbons	name=Leeza Gibbons	episodes=1 episode, 2002 	
character=Matthew Heath Collins	name=Steve Ryan	episodes=1 episode, 2002 	
character=Jessie Johnson	name=Franc Ross	episodes=1 episode, 2002 	
character=Claire	name=Victor McCay	episodes=1 episode, 2002 	
character=Teacher	name=Victor McCay	episodes=1 episode, 2002 	
character=Harold Mossback	name=Hansford Rowe	episodes=1 episode, 2002 	
character=Becky	name=Denalda Williams	episodes=1 episode, 2002 	
character=Manager	name=Denalda Williams	episodes=1 episode, 2002 	
character=Andrew Wayne Milne	name=Jim Ortlieb	episodes=1 episode, 2003 	
character=Vanessa	name=Ivonne Coll	episodes=1 episode, 2003 	
character=Therapist	name=Ivonne Coll	episodes=1 episode, 2003 	
character=Friend in Green	name=Amanda Carlin	episodes=1 episode, 2003 	
character=Marv Chenowith	name=Timothy Landfield	episodes=1 episode, 2003 	
character=Friend 	name=Todd Merrill	episodes=1 episode, 2003 	
character=Kevin	name=Todd Merrill	episodes=1 episode, 2003 	
character=Thomas Sheedy	name=Rick Overton	episodes=1 episode, 2004 	
character=Dean Kekalos	name=Bob Morrisey	episodes=1 episode, 2004 	
character=Young George	name=Chase Ellison	episodes=1 episode, 2005 	
character=Self	name=Susie Bright	episodes=1 episode, 2005 	
character=Slick Funeral Director	name=Matt McCoy	episodes=1 episode, 2001 	
character=Paula Cooper	name=Veronica Lauren	episodes=1 episode, 2001 	
character=Attorney	name=Richard Penn	episodes=1 episode, 2001 	
character=Mrs. Murdoch	name=Joyce Greenleaf	episodes=1 episode, 2001 	
character=Jessica Wilcox	name=Lorinne Vozoff	episodes=1 episode, 2001 	
character=VA Administrator	name=Eric Ware	episodes=1 episode, 2001 	
character=Crying Sicilian Mother	name=Audrey Gelfund	episodes=1 episode, 2001 	
character=Jeannie Fritzen	name=Lindsey Parks	episodes=1 episode, 2001 	
character=Male Sex Addict	name=Daniel Roebuck	episodes=1 episode, 2002 	
character=Pete	name=W. Earl Brown	episodes=1 episode, 2002 	
character=Jessica Shapiro	name=Sara Mornell	episodes=1 episode, 2002 	
character=Andrew Perez	name=Efrain Figueroa	episodes=1 episode, 2002 	
character=Junkie Man	name=David Raibon	episodes=1 episode, 2002 	
character=Prison Officer	name=Jim Beaver	episodes=1 episode, 2003 	
character=Alex Graham	name=Brian Stepanek	episodes=1 episode, 2003 	
character=Diane Buckner	name=Terri Hanauer	episodes=1 episode, 2003 	
character=Eve	name=Karen Landry	episodes=1 episode, 2003 	
character=Dorothy Su	name=Momo Yashima	episodes=1 episode, 2003 	
character=Aunt Jeanie	name=Ann Weldon	episodes=1 episode, 2003 	
character=Female Bruncher	name=Melissa Paull	episodes=1 episode, 2003 	
character=Soloist	name=David Peterson	episodes=1 episode, 2003 	
character=Nessun Dorma	name=David Peterson	episodes=1 episode, 2003 	
character=Pot Dealer	name=Maury Sterling	episodes=1 episode, 2004 	
character=Ex-Girlfriend	name=Tatyana Yassukovich	episodes=1 episode, 2004 	
character=George	name=Tatyana Yassukovich	episodes=1 episode, 2004 	
