# http://fitlayout.github.io/resource/art74 -> https://www.imdb.com/title/tt0402711/fullcredits/
character=Joel Landson	name=Peter Breitmayer	episodes=2 episodes, 2006 	
character=Michael Reisz	name=Kevin Isola	episodes=1 episode, 2006 	
character=Bailiff	name=David Pearl	episodes=1 episode, 2007 	
character=Mock Justice Souter	name=Bill Blair	episodes=2 episodes, 2008 	
character=Lawyer	name=David Cohen	episodes=1 episode, 2008 	
character=Jack Fleming	name=Brian Kerwin	episodes=1 episode, 2004 	
character=Dr. Amanda Gerard	name=Gina Ravera	episodes=1 episode, 2004 	
character=A.D.A. John Shubert	name=Rocky Carroll	episodes=1 episode, 2004 	
character=Joan Rubin	name=Nicole Sullivan	episodes=1 episode, 2006 	
character=A.D.A. Richard Kelton	name=Steven Eckholdt	episodes=1 episode, 2006 	
character=Ming Wang Shu	name=Ming-Na Wen	episodes=1 episode, 2008 	
character=Judge Judy Beacon	name=Brenda Strong	episodes=1 episode, 2008 	
character=Martha Headly	name=Cheri Oteri	episodes=1 episode, 2008 	
character=Byron Kaneb	name=Dean Norris	episodes=1 episode, 2004 	
character=Dr. Allen Konigsberg	name=George Newbern	episodes=1 episode, 2004 	
character=Sarah Berman	name=Dey Young	episodes=1 episode, 2004 	
character=Susan May	name=Megan Ward	episodes=1 episode, 2004 	
character=Warren Litch	name=Jeremiah Birkett	episodes=1 episode, 2004 	
character=Helen Binder	name=Rusty Schwimmer	episodes=1 episode, 2004 	
character=Dr. Bender	name=Victor Raider-Wexler	episodes=1 episode, 2004 	
character=A.D.A. Richard Kirkland	name=Vincent Angell	episodes=1 episode, 2004 	
character=Dr. Sydney Field	name=Peter MacNicol	episodes=1 episode, 2006 	
character=Judge Milton Brody	name=William Daniels	episodes=1 episode, 2008 	
character=Ian Hoberman	name=Jay Thomas	episodes=1 episode, 2008 	
character=Michael Shea	name=Jon Bernthal	episodes=1 episode, 2004 	
character=Sharon Brant	name=Melora Hardin	episodes=1 episode, 2004 	
character=Jason Binder	name=Frederick Koehler	episodes=1 episode, 2004 	
character=Judge Phillip Stevens	name=Ed O	episodes=1 episode, 2004 	
character=Judge Phillip Stevens	name=Ross	episodes=1 episode, 2004 	
character=Marcy Kirkland	name=Missy Yager	episodes=1 episode, 2004 	
character=Ramone Valasquez	name=Lombardo Boyar	episodes=1 episode, 2004 	
character=Mary Stevens	name=Cheryl White	episodes=1 episode, 2004 	
character=Andrew Forbes	name=Benjamin John Parrillo	episodes=1 episode, 2004 	
character=Tracey Green	name=Sarah Carter	episodes=1 episode, 2005 	
character=Randall Kirk	name=Michael Kenneth Williams	episodes=1 episode, 2005 	
character=Judge O	name=Brenda Wehle	episodes=1 episode, 2005 	
character=Keefe	name=Brenda Wehle	episodes=1 episode, 2005 	
character=Attorney Eli Granger	name=Corbin Bernsen	episodes=1 episode, 2006 	
character=Marguerite Hauser	name=Bonnie Bartlett	episodes=1 episode, 2006 	
character=A.U.S.A. Carl Newell	name=Tom Verica	episodes=1 episode, 2006 	
character=Donald Wharton	name=Matt Malloy	episodes=1 episode, 2006 	
character=A.D.A. Taryn Campbell	name=Aisha Tyler	episodes=1 episode, 2007 	
character=Renata Hill	name=Megan Mullally	episodes=1 episode, 2007 	
character=Frankie Cox	name=Frank Whaley	episodes=1 episode, 2007 	
character=Kaye Kent	name=Kate Hodge	episodes=1 episode, 2007 	
character=Judge Walter Yardley	name=Ken Howard	episodes=1 episode, 2008 	
character=Phyllis Goulet	name=Caroline Aaron	episodes=1 episode, 2008 	
character=Turnip	name=Kwesi Boakye	episodes=1 episode, 2008 	
character=Maureen Rhodes	name=Wendy Gazelle	episodes=1 episode, 2008 	
character=Mark Shrum	name=T.J. Thyne	episodes=1 episode, 2004 	
character=Matthew Calder	name=Todd Stashwick	episodes=1 episode, 2004 	
character=Detective Wayne Farley	name=John Kapelos	episodes=1 episode, 2004 	
character=Gil Furnald	name=Heir	episodes=1 episode, 2004 	
character=Gil Furnald	name=Jim O	episodes=1 episode, 2004 	
character=Wendy Moore	name=Susan Floyd	episodes=1 episode, 2004 	
character=Walter Mack	name=Willie C. Carpenter	episodes=1 episode, 2004 	
character=Judge Franzetti	name=Louis Giambalvo	episodes=1 episode, 2004 	
character=Marybeth Hewitt	name=Elizabeth Sampson	episodes=1 episode, 2004 	
character=Atty. Kevin Ripley	name=Joel Anderson	episodes=1 episode, 2004 	
character=Zeke Borns	name=Sterling K. Brown	episodes=1 episode, 2005 	
character=Attorney Elizabeth Tyler	name=Christina Chang	episodes=1 episode, 2005 	
character=Lydia Tuffalo	name=Alice Drummond	episodes=1 episode, 2005 	
character=John Zenawi	name=Gregory Alan Williams	episodes=1 episode, 2005 	
character=Special Agent Kevin Drummond	name=Steve Ryan	episodes=1 episode, 2005 	
character=Juliette Monroe	name=Michelle Forbes	episodes=1 episode, 2006 	
character=Russell Blayney	name=Daniel Roebuck	episodes=1 episode, 2006 	
character=Stephanie Beller	name=Romy Rosemont	episodes=1 episode, 2006 	
character=Judge Simon Devon	name=Robert Foxworth	episodes=1 episode, 2006 	
character=Kurt Loomis	name=Tony Denison	episodes=1 episode, 2006 	
character=Attorney Vivian Marino	name=Annabelle Gurwitch	episodes=1 episode, 2006 	
character=Natalie Cabot	name=Joan McMurtrey	episodes=1 episode, 2006 	
character=Kevin Givens	name=Jaleel White	episodes=1 episode, 2007 	
character=Simon Griffin	name=Joey Slotnick	episodes=1 episode, 2007 	
character=Aaron Sears	name=Stephen Lee	episodes=1 episode, 2007 	
character=A.D.A. Rex Swarthmore	name=Xander Berkeley	episodes=1 episode, 2008 	
character=Attorney Steve Duprey	name=Joe Morton	episodes=1 episode, 2008 	
character=Officer Preston Holt	name=Jonathan Adams	episodes=1 episode, 2008 	
character=Ryan Chism	name=Matt Winston	episodes=1 episode, 2008 	
character=D.A.G. Ronald Lazarus	name=Nestor Serrano	episodes=1 episode, 2008 	
